seed,subset,group,direction,stage,epoch,delta,ci_lo,ci_hi,median_cs,median_noswitch,mean_delta,n
s42,all,never_embedded,nld-eng,stage2,5,0.0041237113402061,0.0,0.0103092783505155,0.9958762886597938,0.9917525773195875,0.022646749421418,245
s42,all,never_embedded,nld-eng,stage2,10,0.0041237113402061,0.0,0.0082474226804124,0.9958762886597938,0.9917525773195875,0.0219566589522407,245
s42,all,never_embedded,nld-eng,stage3,1,0.002061855670103,0.0,0.0103092783505155,0.9958762886597938,0.9938144329896909,0.0235304018514621,245
s42,all,never_embedded,nld-eng,stage3,5,0.002061855670103,-0.002061855670103,0.0082474226804123,0.9958762886597938,0.9938144329896909,0.0191710498632444,245
s42,all,never_embedded,nld-eng,stage3,10,0.0041237113402061,0.0,0.0082474226804124,0.9958762886597938,0.9917525773195875,0.016225541763097,245
s42,all,never_embedded,zho-eng,stage1,0,0.0,0.0,0.0,0.6084558823529411,0.6084558823529411,0.0,279
s42,all,never_embedded,zho-eng,stage1,1,0.1121323529411764,0.0220128676470587,0.1617647058823529,0.6599264705882353,0.5477941176470589,0.0555555555555555,279
s42,all,never_embedded,zho-eng,stage1,5,0.1378676470588236,0.0716911764705882,0.1985294117647058,0.7463235294117647,0.6084558823529411,0.1297504216740459,279
s42,all,never_embedded,zho-eng,stage1,10,0.1544117647058822,0.0992647058823529,0.2113970588235294,0.7683823529411764,0.6139705882352942,0.1413662239089184,279
s42,all,never_embedded,zho-eng,stage2,1,0.1764705882352941,0.1176470588235294,0.2334558823529411,0.8033088235294118,0.6268382352941176,0.1612442019818679,279
s42,all,never_embedded,zho-eng,stage2,5,0.2316176470588234,0.1764246323529411,0.2849264705882353,0.8455882352941176,0.6139705882352942,0.1812934851359899,279
s42,all,never_embedded,zho-eng,stage2,10,0.2150735294117647,0.1672794117647058,0.259237132352941,0.8327205882352942,0.6176470588235294,0.1781375184482394,279
