lang,condition,layer,n_pairs,emb_cos,ctl_cos,cohen_d_cos,p_cos,emb_l2,ctl_l2,cohen_d_l2,p_l2,seed
zho,curriculum,5,279,0.47719747,0.47862676,-0.039317425340414,0.60617006,9.094679,9.008548,0.0735682472586631,0.24553695,46
zho,curriculum,6,279,0.49094805,0.4904468,0.0137667339295148,0.85764706,9.618899,9.570319,0.0380765125155448,0.5588259,46
zho,curriculum,7,279,0.50099504,0.50022346,0.0203208345919847,0.7872805,9.791182,9.735513,0.0413520820438861,0.5255628,46
zho,curriculum,8,279,0.5116245,0.51139927,0.0056461319327354,0.9403431,9.814847,9.736138,0.059236817061901,0.3516416,46
zho,curriculum,9,279,0.52475244,0.5236264,0.0259904209524393,0.7312791,9.708601,9.620681,0.0677905529737472,0.28274018,46
zho,curriculum,10,279,0.53989667,0.53786576,0.0423977188766002,0.5674982,9.564954,9.457143,0.084997184574604,0.17652306,46
zho,curriculum,11,279,0.56566095,0.5591108,0.12043147534132,0.10748611,9.41207,9.317694,0.0754360780119896,0.24374668,46
zho,curriculum,12,279,0.60758877,0.6005663,0.1186452507972717,0.106876425,28.86445,28.810196,0.0151705434545874,0.8214874,46
eng,curriculum,0,578,0.8604923,0.8666962,-0.2140093147754669,3.445916e-05,0.33911356,0.33771777,0.0320702865719795,0.44484213,47
eng,curriculum,1,578,0.5232414,0.5289223,-0.1338566541671753,0.010521405,3.3743896,3.3473945,0.0470363944768905,0.26368082,47
eng,curriculum,2,578,0.4899841,0.49176216,-0.0610198974609375,0.2718287,5.151306,5.1546836,-0.0055740717798471,0.8984114,47
eng,curriculum,3,578,0.5037773,0.50224465,0.051666721701622,0.3488227,6.0646,6.0943236,-0.0432491227984428,0.32982907,47
eng,curriculum,4,578,0.5258539,0.5232733,0.0861280709505081,0.11961873,6.8382826,6.8870974,-0.0629105940461158,0.17512465,47
eng,curriculum,5,578,0.5416828,0.5383046,0.1110503524541854,0.045719385,7.555248,7.6311054,-0.0852199867367744,0.07505977,47
